epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,182.265,0.87038,0.60132,1.06337,0.87057,0.79328,0.8607,0.71111,0.84267,0.64195,1.07012,0.00123566,0.00123566,0.00123566
43,186.483,0.90901,0.59246,1.07001,0.88897,0.7275,0.859,0.692,0.88152,0.65267,1.07536,0.00123094,0.00123094,0.00123094
44,190.446,0.85738,0.56371,1.0546,0.85103,0.77383,0.83467,0.67003,0.9071,0.60745,1.10189,0.00122622,0.00122622,0.00122622
45,194.566,0.89201,0.60233,1.06475,0.80038,0.87244,0.86534,0.70552,0.83051,0.61024,1.06197,0.00122151,0.00122151,0.00122151
46,198.742,0.88293,0.5958,1.06235,0.82168,0.82439,0.89265,0.73635,0.83332,0.55828,1.04253,0.00121679,0.00121679,0.00121679
47,202.791,0.88455,0.59069,1.06709,0.8419,0.82985,0.85523,0.6906,0.87204,0.61328,1.07022,0.00121208,0.00121208,0.00121208
48,206.827,0.87038,0.57315,1.06821,0.8244,0.85418,0.88892,0.72894,0.79918,0.57911,1.05098,0.00120736,0.00120736,0.00120736
49,210.956,0.87781,0.58186,1.0519,0.82237,0.88001,0.88623,0.73069,0.81204,0.60199,1.06605,0.00120265,0.00120265,0.00120265
50,215.492,0.89645,0.56705,1.06424,0.84285,0.87065,0.89468,0.73705,0.7691,0.55599,1.04048,0.00119793,0.00119793,0.00119793
51,220.178,0.86556,0.56282,1.0585,0.82187,0.83758,0.87558,0.72773,0.8033,0.54972,1.04596,0.00119322,0.00119322,0.00119322
52,224.793,0.85345,0.58642,1.04742,0.84189,0.88376,0.87428,0.71437,0.83401,0.56978,1.04257,0.0011885,0.0011885,0.0011885
53,229.353,0.87961,0.58239,1.05799,0.81541,0.90277,0.88948,0.71905,0.8244,0.58541,1.04236,0.00118378,0.00118378,0.00118378
54,233.947,0.88511,0.57306,1.06562,0.84821,0.85916,0.89742,0.69261,0.8616,0.61176,1.04808,0.00117907,0.00117907,0.00117907
55,238.569,0.84057,0.56112,1.05128,0.87622,0.85449,0.92342,0.74543,0.79465,0.5652,1.03785,0.00117435,0.00117435,0.00117435
56,243.192,0.8614,0.57531,1.05715,0.82404,0.83843,0.89739,0.73544,0.76635,0.55934,1.03668,0.00116964,0.00116964,0.00116964
57,247.746,0.86038,0.55808,1.04611,0.84818,0.87798,0.89713,0.74905,0.78648,0.57625,1.02824,0.00116492,0.00116492,0.00116492
58,252.372,0.87192,0.56121,1.06016,0.84024,0.86799,0.88763,0.7306,0.78677,0.59773,1.03314,0.00116021,0.00116021,0.00116021
59,256.976,0.86481,0.56042,1.04971,0.85704,0.82321,0.885,0.72702,0.79184,0.58092,1.04102,0.00115549,0.00115549,0.00115549
