epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,735.534,0.66733,0.40665,0.9656,0.89405,0.94394,0.94064,0.81081,0.64636,0.45305,0.99098,0.00058489,0.00058489,0.00058489
181,739.305,0.69476,0.40753,0.97092,0.88982,0.91203,0.94227,0.80878,0.64873,0.46228,0.99817,0.000580174,0.000580174,0.000580174
182,743.149,0.68973,0.40115,0.97997,0.90872,0.89583,0.93748,0.81276,0.65709,0.45406,1.0091,0.000575458,0.000575458,0.000575458
183,746.981,0.69064,0.40312,0.97514,0.90285,0.962,0.95143,0.82081,0.62705,0.42366,0.9944,0.000570743,0.000570743,0.000570743
184,750.824,0.70222,0.41317,0.98373,0.90454,0.94848,0.94104,0.81446,0.65711,0.41385,0.99423,0.000566027,0.000566027,0.000566027
185,754.58,0.71381,0.41582,0.9889,0.89391,0.95365,0.95178,0.81065,0.64966,0.42802,0.99381,0.000561311,0.000561311,0.000561311
186,758.396,0.6824,0.40655,0.98139,0.92006,0.9574,0.9562,0.80854,0.67822,0.43035,1.0179,0.000556595,0.000556595,0.000556595
187,762.238,0.69469,0.41764,0.97237,0.9257,0.90459,0.95385,0.80042,0.68841,0.46867,1.01558,0.00055188,0.00055188,0.00055188
188,766.051,0.68814,0.3977,0.97393,0.91525,0.92963,0.94163,0.81187,0.63815,0.4493,1.00643,0.000547164,0.000547164,0.000547164
189,769.887,0.6763,0.3983,0.96293,0.90414,0.91829,0.92964,0.81684,0.64779,0.42753,1.00363,0.000542448,0.000542448,0.000542448
190,773.694,0.68572,0.40702,0.97479,0.91237,0.93252,0.93785,0.8084,0.62924,0.42912,0.99188,0.000537733,0.000537733,0.000537733
191,777.543,0.68474,0.40189,0.97754,0.90312,0.93738,0.93655,0.81564,0.63873,0.43455,0.99498,0.000533017,0.000533017,0.000533017
192,781.312,0.68951,0.40315,0.97127,0.88536,0.9637,0.93344,0.82314,0.62288,0.43351,0.99173,0.000528301,0.000528301,0.000528301
193,784.991,0.67219,0.39297,0.952,0.87515,0.94297,0.9413,0.83488,0.60513,0.41986,0.98301,0.000523586,0.000523586,0.000523586
194,788.693,0.66221,0.39488,0.96644,0.90166,0.9517,0.95758,0.83336,0.63453,0.42054,0.98959,0.00051887,0.00051887,0.00051887
195,792.532,0.65713,0.39541,0.96653,0.89766,0.93087,0.94093,0.81704,0.66119,0.43468,1.00359,0.000514154,0.000514154,0.000514154
196,796.213,0.66201,0.39611,0.96744,0.90961,0.96645,0.96155,0.8335,0.63574,0.42158,1.00753,0.000509438,0.000509438,0.000509438
197,799.892,0.66327,0.39752,0.9706,0.9444,0.93596,0.96322,0.82023,0.67779,0.43941,1.01141,0.000504723,0.000504723,0.000504723
198,803.592,0.65899,0.38935,0.95769,0.9241,0.93,0.95596,0.81827,0.65027,0.43627,1.00105,0.000500007,0.000500007,0.000500007
199,807.707,0.69162,0.40206,0.97985,0.90702,0.93009,0.95238,0.80515,0.67406,0.42973,1.01961,0.000495291,0.000495291,0.000495291
200,811.756,0.67265,0.38763,0.96796,0.93288,0.94362,0.95399,0.80978,0.6533,0.44799,1.01567,0.000490576,0.000490576,0.000490576
201,815.423,0.66748,0.39845,0.96626,0.90373,0.93192,0.9515,0.81946,0.64806,0.44335,1.01027,0.00048586,0.00048586,0.00048586
202,819.153,0.66687,0.40016,0.97641,0.91355,0.9423,0.96061,0.83618,0.63532,0.42488,1.00136,0.000481144,0.000481144,0.000481144
203,823.212,0.66299,0.39221,0.96173,0.91921,0.95271,0.96161,0.83933,0.63786,0.4279,0.99705,0.000476429,0.000476429,0.000476429
204,827.329,0.67076,0.38034,0.97589,0.89633,0.93524,0.94092,0.82434,0.62469,0.43658,0.98993,0.000471713,0.000471713,0.000471713
205,830.985,0.67795,0.38211,0.96721,0.88354,0.95096,0.94939,0.82978,0.64743,0.43463,1.0026,0.000466997,0.000466997,0.000466997
206,834.706,0.66536,0.39008,0.96209,0.91783,0.93855,0.9598,0.82832,0.63039,0.41634,1.01103,0.000462281,0.000462281,0.000462281
207,838.694,0.6458,0.3838,0.95586,0.96634,0.90993,0.95988,0.83343,0.62891,0.43101,0.99799,0.000457566,0.000457566,0.000457566
208,842.342,0.66042,0.39421,0.96603,0.86685,0.95241,0.9547,0.83032,0.63022,0.44195,1.00081,0.00045285,0.00045285,0.00045285
209,846.442,0.66042,0.39375,0.96684,0.86673,0.94495,0.95273,0.83857,0.61494,0.43927,0.99039,0.000448134,0.000448134,0.000448134
210,850.53,0.65285,0.3884,0.95502,0.92122,0.94355,0.95792,0.83016,0.62857,0.42975,1.00164,0.000443419,0.000443419,0.000443419
211,854.28,0.64826,0.37714,0.95703,0.90412,0.92963,0.95791,0.83004,0.634,0.43439,1.01387,0.000438703,0.000438703,0.000438703
212,857.989,0.67183,0.38458,0.9742,0.8507,0.92493,0.94221,0.82559,0.66052,0.42931,1.01517,0.000433987,0.000433987,0.000433987
213,861.674,0.68994,0.3959,0.97223,0.89151,0.89229,0.93209,0.80628,0.67069,0.44253,1.01696,0.000429272,0.000429272,0.000429272
214,865.422,0.64752,0.37897,0.95539,0.90525,0.90353,0.93352,0.81786,0.64626,0.4502,1.01381,0.000424556,0.000424556,0.000424556
215,869.136,0.68257,0.39016,0.97252,0.91833,0.91002,0.94881,0.83147,0.63028,0.42408,0.99804,0.00041984,0.00041984,0.00041984
216,872.898,0.64301,0.37636,0.94411,0.91487,0.9112,0.94647,0.82544,0.63149,0.43153,0.99851,0.000415124,0.000415124,0.000415124
217,876.634,0.64687,0.37541,0.95662,0.94349,0.9067,0.94816,0.82547,0.6307,0.443,0.99707,0.000410409,0.000410409,0.000410409
218,880.317,0.65981,0.38421,0.95804,0.91585,0.92226,0.95173,0.82554,0.61667,0.44693,0.98883,0.000405693,0.000405693,0.000405693
219,884.049,0.65641,0.38232,0.96796,0.93252,0.9359,0.95822,0.83605,0.61526,0.4301,0.9838,0.000400977,0.000400977,0.000400977
220,887.747,0.6338,0.37156,0.95884,0.93215,0.93539,0.95236,0.82012,0.60698,0.43293,0.98823,0.000396262,0.000396262,0.000396262
221,891.638,0.64202,0.37368,0.95314,0.9208,0.93723,0.94977,0.81627,0.62212,0.43159,1.00437,0.000391546,0.000391546,0.000391546
222,895.399,0.64736,0.37813,0.95544,0.94397,0.91587,0.9495,0.81554,0.60624,0.45087,0.99887,0.00038683,0.00038683,0.00038683
223,899.061,0.65288,0.38327,0.95563,0.93469,0.89043,0.93005,0.80915,0.60928,0.4618,0.99217,0.000382115,0.000382115,0.000382115
224,902.72,0.65266,0.37643,0.95868,0.92838,0.936,0.94333,0.81115,0.61395,0.45048,0.99244,0.000377399,0.000377399,0.000377399
225,906.388,0.64062,0.3764,0.9569,0.93311,0.92733,0.94892,0.81032,0.61871,0.44627,0.99236,0.000372683,0.000372683,0.000372683
226,910.079,0.63534,0.37088,0.95564,0.95443,0.91398,0.94672,0.81555,0.63557,0.45618,1.00474,0.000367967,0.000367967,0.000367967
227,913.811,0.63759,0.37583,0.95759,0.90147,0.94039,0.93363,0.8058,0.62814,0.46786,0.98861,0.000363252,0.000363252,0.000363252
228,917.545,0.64453,0.38222,0.96159,0.92328,0.93479,0.95272,0.81401,0.62887,0.43787,1.00044,0.000358536,0.000358536,0.000358536
229,921.279,0.65618,0.3754,0.95882,0.89576,0.94575,0.95502,0.8235,0.62116,0.42436,0.98897,0.00035382,0.00035382,0.00035382
230,924.99,0.60531,0.36129,0.94241,0.91684,0.87968,0.94156,0.81562,0.62062,0.45124,0.97779,0.000349105,0.000349105,0.000349105
231,928.655,0.63957,0.36237,0.95076,0.89818,0.93603,0.94475,0.82545,0.61666,0.44159,0.98546,0.000344389,0.000344389,0.000344389
232,932.338,0.63101,0.36473,0.94244,0.91586,0.92802,0.95095,0.8266,0.61049,0.44102,0.99455,0.000339673,0.000339673,0.000339673
233,935.979,0.63712,0.36932,0.95966,0.90077,0.89459,0.93305,0.82198,0.62651,0.45186,1.00231,0.000334958,0.000334958,0.000334958
234,939.673,0.64271,0.37057,0.95136,0.91688,0.94122,0.93393,0.80473,0.62452,0.46455,0.99318,0.000330242,0.000330242,0.000330242
235,943.368,0.62238,0.37047,0.9527,0.92446,0.93664,0.9467,0.8151,0.62558,0.44682,1.0014,0.000325526,0.000325526,0.000325526
236,947.041,0.61294,0.36642,0.94325,0.90213,0.94811,0.9503,0.82551,0.63067,0.43524,1.01528,0.00032081,0.00032081,0.00032081
237,950.754,0.62805,0.36638,0.9499,0.90556,0.91733,0.95645,0.83355,0.61317,0.42413,1.00314,0.000316095,0.000316095,0.000316095
238,954.486,0.62059,0.35509,0.94614,0.88794,0.88752,0.94135,0.82774,0.61602,0.42261,0.99706,0.000311379,0.000311379,0.000311379
239,958.208,0.64747,0.36137,0.95509,0.89468,0.90841,0.93666,0.8286,0.62058,0.41681,1.00507,0.000306663,0.000306663,0.000306663
240,961.918,0.61875,0.35348,0.94309,0.88872,0.93402,0.93643,0.82508,0.61845,0.42587,1.00575,0.000301948,0.000301948,0.000301948
241,965.681,0.61902,0.36343,0.94643,0.90444,0.94258,0.93965,0.8307,0.64411,0.42252,1.0113,0.000297232,0.000297232,0.000297232
242,969.425,0.64789,0.36956,0.95139,0.90632,0.94021,0.94219,0.83135,0.62209,0.42681,0.99534,0.000292516,0.000292516,0.000292516
243,973.152,0.63909,0.36925,0.9618,0.92863,0.91939,0.94754,0.83,0.62612,0.43151,1.00334,0.000287801,0.000287801,0.000287801
244,976.865,0.63651,0.36723,0.96207,0.91569,0.92963,0.94723,0.82258,0.62101,0.43318,1.00558,0.000283085,0.000283085,0.000283085
245,980.513,0.61201,0.35787,0.94416,0.92711,0.92288,0.95498,0.83282,0.61642,0.41424,1.00484,0.000278369,0.000278369,0.000278369
246,984.168,0.62953,0.36523,0.95118,0.91599,0.94397,0.95636,0.83533,0.61658,0.41581,0.99744,0.000273654,0.000273654,0.000273654
247,987.778,0.62372,0.37154,0.94206,0.92723,0.92733,0.94969,0.8321,0.6012,0.41849,0.99413,0.000268938,0.000268938,0.000268938
248,991.46,0.61969,0.35822,0.94979,0.9157,0.94559,0.94998,0.82187,0.61194,0.43054,0.99925,0.000264222,0.000264222,0.000264222
249,995.108,0.59621,0.34892,0.94106,0.91293,0.94351,0.94717,0.82981,0.61192,0.43539,0.99968,0.000259506,0.000259506,0.000259506
250,998.787,0.60235,0.35582,0.9472,0.92828,0.91768,0.94488,0.82851,0.60244,0.44684,0.98995,0.000254791,0.000254791,0.000254791
251,1002.43,0.60801,0.35074,0.94075,0.90472,0.91567,0.93113,0.82197,0.60102,0.46241,0.99133,0.000250075,0.000250075,0.000250075
252,1006.19,0.63197,0.3691,0.96276,0.91536,0.93501,0.94272,0.8229,0.60158,0.44757,0.99654,0.000245359,0.000245359,0.000245359
253,1009.95,0.61697,0.35183,0.94799,0.91812,0.94842,0.94665,0.8298,0.60287,0.44433,0.99843,0.000240644,0.000240644,0.000240644
